#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 67    53.963337763309 -5.037e-02  2.012e+00  5.270e+00  3.667e-03  8.085e-03 
 68    53.893604337291 -6.973e-02  1.137e+00  4.406e+00  1.868e-03  3.735e-03 
 69    53.884092362133 -9.512e-03  1.437e+00  5.187e+00  9.083e-04* 2.054e-03 
 70    53.843835306528 -4.026e-02  5.369e-01  1.092e+00  1.274e-03  2.978e-03 
 71    53.843400959574 -4.343e-04  6.384e-01  1.632e+00  1.600e-04* 3.207e-04*
 72    53.825137960278 -1.826e-02  8.063e-01  1.709e+00  1.437e-03  3.328e-03 
 73    53.795283265471 -2.985e-02  7.755e-01  2.262e+00  2.179e-03  6.054e-03 
 74    53.720073056946 -7.521e-02  1.846e+00  5.585e+00  9.891e-03  2.583e-02 
 75    53.657096637916 -6.298e-02  6.699e-01  2.493e+00  1.809e-03  3.302e-03 
 76    53.656603285241 -4.934e-04  7.736e-01  2.950e+00  1.928e-04* 3.815e-04*
 77    53.638196269146 -1.841e-02  5.911e-01  1.433e+00  1.193e-03  2.216e-03 
 78    53.628807481627 -9.389e-03  7.668e-01  1.726e+00  1.371e-03  2.458e-03 
 79    53.616322728251 -1.248e-02  4.799e-01  1.036e+00  8.057e-04* 2.644e-03 
 80    53.613384968022 -2.938e-03  7.101e-01  2.916e+00  6.076e-04* 1.448e-03*
 81    53.601995829053 -1.139e-02  4.208e-01  1.299e+00  7.610e-04* 2.006e-03 
 82    53.600668569608 -1.327e-03  6.453e-01  2.572e+00  4.022e-04* 8.457e-04*
 83    53.588371793054 -1.230e-02  4.370e-01  1.449e+00  9.378e-04* 2.193e-03 
 84    53.585744222792 -2.628e-03  7.638e-01  2.484e+00  7.886e-04* 1.993e-03*
 85    53.572625083086 -1.312e-02  4.363e-01  1.100e+00  8.926e-04* 1.964e-03*
 86    53.571729687656 -8.954e-04  6.459e-01  2.056e+00  3.438e-04* 7.843e-04*
 87    53.556812989618 -1.492e-02  5.423e-01  1.624e+00  1.237e-03  2.806e-03 
 88    53.536437384594 -2.038e-02  1.475e+00  6.972e+00  4.312e-03  1.086e-02 
 89    53.500576136836 -3.586e-02  5.216e-01  1.518e+00  1.145e-03  2.564e-03 
 90    53.500278201643 -2.979e-04  6.084e-01  2.048e+00  1.202e-04* 2.753e-04*
 91    53.482627668047 -1.765e-02  5.202e-01  1.361e+00  1.443e-03  4.529e-03 
 92    53.463671249038 -1.896e-02  9.398e-01  1.770e+00  3.227e-03  8.929e-03 
 93    53.435602127606 -2.807e-02  8.204e-01  2.457e+00  1.492e-03  4.541e-03 
 94    53.412951120992 -2.265e-02  8.781e-01  2.399e+00  2.148e-03  6.742e-03 
 95    53.387086360940 -2.586e-02  9.071e-01  3.803e+00  1.606e-03  3.630e-03 
 96    53.359159126649 -2.793e-02  6.643e-01  1.695e+00  2.040e-03  5.457e-03 
 97    53.342884595436 -1.627e-02  1.282e+00  2.573e+00  2.676e-03  7.487e-03 
 98    53.290612014611 -5.227e-02  9.891e-01  3.068e+00  2.181e-03  5.260e-03 
 99    53.269287968489 -2.132e-02  1.383e+00  5.933e+00  2.372e-03  6.170e-03 
100    53.231764701551 -3.752e-02  8.070e-01  2.934e+00  1.393e-03  3.558e-03 
101    53.227152146452 -4.613e-03  1.147e+00  4.141e+00  7.055e-04* 2.169e-03 
102    53.193455282488 -3.370e-02  6.184e-01  1.194e+00  1.414e-03  3.924e-03 
103    53.191805423962 -1.650e-03  8.785e-01  1.871e+00  4.482e-04* 1.254e-03*
104    53.160689674934 -3.112e-02  9.424e-01  2.495e+00  1.910e-03  5.297e-03 
105    53.044281719945 -1.164e-01  2.208e+00  7.306e+00  9.919e-03  3.042e-02 
106    52.928527100375 -1.158e-01  1.209e+00  4.105e+00  2.817e-03  7.249e-03 
107    52.920873974338 -7.653e-03  1.627e+00  6.109e+00  9.963e-04* 2.998e-03 
108    52.860577829660 -6.030e-02  8.829e-01  2.198e+00  1.943e-03  6.264e-03 
109    52.856604405619 -3.973e-03  1.270e+00  3.351e+00  7.154e-04* 2.362e-03 
110    52.794320895848 -6.228e-02  1.053e+00  2.226e+00  2.639e-03  6.502e-03 
111    52.742221074183 -5.210e-02  2.180e+00  4.799e+00  5.641e-03  1.488e-02 
112    52.626683377814 -1.155e-01  1.355e+00  3.769e+00  2.695e-03  7.691e-03 
113    52.608662160508 -1.802e-02  1.853e+00  5.242e+00  1.565e-03  4.653e-03 
114    52.540462696551 -6.820e-02  9.906e-01  3.394e+00  1.811e-03  4.125e-03 
115    52.535516139967 -4.947e-03  1.394e+00  5.523e+00  6.861e-04* 1.887e-03*
116    52.468944283601 -6.657e-02  9.564e-01  2.567e+00  2.365e-03  6.750e-03 
117    52.452959603609 -1.598e-02  1.760e+00  4.844e+00  2.184e-03  6.702e-03 
118    52.369451879554 -8.351e-02  1.285e+00  3.327e+00  2.486e-03  6.684e-03 
119    52.338247607840 -3.120e-02  2.205e+00  8.925e+00  2.820e-03  8.761e-03 
120    52.241821705356 -9.643e-02  1.090e+00  3.010e+00  2.213e-03  5.743e-03 
121    52.238368986641 -3.453e-03  1.457e+00  4.245e+00  5.573e-04* 1.532e-03*
122    52.153455914847 -8.491e-02  1.177e+00  2.999e+00  3.083e-03  7.768e-03 
123    52.072521154616 -8.093e-02  3.085e+00  7.709e+00  8.145e-03  2.450e-02 
124    51.869078049686 -2.034e-01  1.519e+00  4.018e+00  3.163e-03  8.379e-03 
125    51.860676948632 -8.401e-03  1.909e+00  5.268e+00  8.379e-04* 2.333e-03 
126    51.785206975490 -7.547e-02  9.906e-01  2.543e+00  1.929e-03  4.812e-03 
127    51.780752551359 -4.454e-03  1.389e+00  4.822e+00  6.502e-04* 1.641e-03*
128    51.683380435627 -9.737e-02  1.381e+00  5.752e+00  3.493e-03  9.907e-03 
129    51.526235428718 -1.571e-01  2.638e+00  6.162e+00  9.852e-03  2.721e-02 
130    51.268565870078 -2.577e-01  1.845e+00  5.713e+00  5.721e-03  1.875e-02 
131    51.213630963692 -5.493e-02  2.630e+00  6.047e+00  4.199e-03  1.420e-02 
132    51.034144262931 -1.795e-01  1.995e+00  6.419e+00  3.835e-03  9.677e-03 
133    50.956728745504 -7.742e-02  2.548e+00  8.234e+00  3.932e-03  1.077e-02 
134    50.839750812059 -1.170e-01  1.333e+00  4.461e+00  2.328e-03  6.784e-03 
135    50.828993181230 -1.076e-02  1.846e+00  7.435e+00  9.782e-04* 3.181e-03 
136    50.724958576940 -1.040e-01  1.138e+00  2.859e+00  2.815e-03  7.763e-03 
137    50.715540444043 -9.418e-03  1.774e+00  5.118e+00  1.344e-03  3.939e-03 
138    50.601830431346 -1.137e-01  1.568e+00  5.323e+00  3.339e-03  8.459e-03 
139    50.483813487738 -1.180e-01  2.570e+00  9.746e+00  7.169e-03  1.955e-02 
140    50.304225231043 -1.796e-01  1.910e+00  6.105e+00  3.855e-03  1.126e-02 
141    50.235136936977 -6.909e-02  2.479e+00  7.573e+00  3.744e-03  1.233e-02 
142    50.117361927050 -1.178e-01  1.459e+00  2.701e+00  2.484e-03  6.948e-03 
143    50.101350625678 -1.601e-02  2.059e+00  6.280e+00  1.313e-03  3.771e-03 
144    50.000863035933 -1.005e-01  9.378e-01  2.134e+00  2.360e-03  5.241e-03 
145    49.999173857584 -1.689e-03  1.211e+00  3.268e+00  3.989e-04* 1.033e-03*
146    49.873931251196 -1.252e-01  2.288e+00  7.861e+00  5.754e-03  1.889e-02 
147    49.753468889324 -1.205e-01  1.056e+00  3.190e+00  2.733e-03  7.322e-03 
