#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 64   -38.252848553837 -1.026e-05  1.886e-02  4.831e-02  2.468e-05* 5.794e-05*
 65   -38.252858780855 -1.023e-05  4.509e-02  1.004e-01  5.201e-05* 1.487e-04*
 66   -38.252890391988 -3.161e-05  2.372e-02  4.997e-02  3.676e-05* 8.147e-05*
 67   -38.252891607694 -1.216e-06  3.198e-02  7.054e-02  9.808e-06* 2.389e-05*
 68   -38.252917923450 -2.632e-05  2.565e-02  6.377e-02  4.837e-05* 1.055e-04*
 69   -38.252934945849 -1.702e-05  5.047e-02  1.202e-01  8.839e-05* 2.314e-04*
 70   -38.252972115454 -3.717e-05  2.988e-02  9.488e-02  4.274e-05* 1.102e-04*
 71   -38.252977455635 -5.340e-06  4.562e-02  1.186e-01  2.491e-05* 7.174e-05*
 72   -38.253016655195 -3.920e-05  2.418e-02  5.678e-02  5.046e-05* 1.227e-04*
 73   -38.253017893220 -1.238e-06  3.257e-02  7.833e-02  1.222e-05* 3.297e-05*
 74   -38.253041036512 -2.314e-05  2.576e-02  6.002e-02  4.623e-05* 1.301e-04*
 75   -38.253064976625 -2.394e-05  7.114e-02  1.398e-01  1.261e-04* 3.795e-04*
 76   -38.253127235642 -6.226e-05  2.370e-02  5.306e-02  4.897e-05* 9.732e-05*
 77   -38.253127439642 -2.040e-07* 2.726e-02  5.303e-02  3.502e-06* 7.455e-06*
 78   -38.253173530024 -4.609e-05  2.721e-02  6.853e-02  1.100e-04* 2.629e-04*
 79   -38.253233741539 -6.021e-05  7.000e-02  1.511e-01  2.289e-04* 6.509e-04*
 80   -38.253316362510 -8.262e-05  3.802e-02  9.087e-02  7.063e-05* 1.854e-04*
 81   -38.253321412074 -5.050e-06  5.173e-02  1.327e-01  2.443e-05* 6.832e-05*
 82   -38.253371186612 -4.977e-05  2.079e-02  4.044e-02  5.766e-05* 1.346e-04*
 83   -38.253371586103 -3.995e-07* 2.489e-02  4.607e-02  5.972e-06* 1.523e-05*
 84   -38.253390612362 -1.903e-05  3.160e-02  6.420e-02  5.226e-05* 1.554e-04*
 85   -38.253440537137 -4.992e-05  5.198e-02  1.220e-01  1.239e-04* 3.476e-04*
 86   -38.253503076411 -6.254e-05  3.355e-02  8.126e-02  9.322e-05* 2.520e-04*
 87   -38.253508811151 -5.735e-06  5.586e-02  1.417e-01  4.773e-05* 1.350e-04*
 88   -38.253571005561 -6.219e-05  3.238e-02  8.283e-02  9.000e-05* 2.402e-04*
 89   -38.253573692255 -2.687e-06  4.761e-02  1.192e-01  2.777e-05* 7.841e-05*
 90   -38.253634146055 -6.045e-05  4.147e-02  7.532e-02  1.068e-04* 3.069e-04*
 91   -38.253719658977 -8.551e-05  1.127e-01  3.074e-01  3.734e-04* 1.116e-03*
 92   -38.253869369543 -1.497e-04  2.730e-02  5.183e-02  8.768e-05* 2.060e-04*
 93   -38.253869448041 -7.850e-08* 2.919e-02  5.861e-02  2.246e-06* 5.407e-06*
 94   -38.253895980450 -2.653e-05  3.775e-02  9.834e-02  6.112e-05* 1.514e-04*
 95   -38.253927447364 -3.147e-05  2.546e-02  7.170e-02  5.798e-05* 1.382e-04*
 96   -38.253934215190 -6.768e-06  4.479e-02  9.632e-02  4.686e-05* 1.276e-04*
 97   -38.253977128754 -4.291e-05  3.060e-02  6.901e-02  6.448e-05* 1.771e-04*
 98   -38.253985353146 -8.224e-06  5.304e-02  1.281e-01  4.987e-05* 1.474e-04*
 99   -38.254035835156 -5.048e-05  2.200e-02  4.216e-02  6.158e-05* 1.548e-04*
100   -38.254036186445 -3.513e-07* 2.690e-02  5.138e-02  6.156e-06* 1.647e-05*
101   -38.254092571607 -5.639e-05  5.608e-02  1.177e-01  1.631e-04* 4.871e-04*
102   -38.254144699114 -5.213e-05  2.552e-02  5.125e-02  6.066e-05* 1.426e-04*
103   -38.254145427068 -7.280e-07* 3.265e-02  6.497e-02  9.253e-06* 2.311e-05*
104   -38.254187810609 -4.238e-05  4.069e-02  8.515e-02  9.792e-05* 2.593e-04*
