#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
 65     0.000124872768 -3.736e-08* 1.121e-03  2.737e-03  2.282e-06* 3.431e-06*
 66     0.000124867807 -4.960e-09* 1.541e-03  3.214e-03  1.154e-06* 1.906e-06*
 67     0.000124839231 -2.858e-08* 9.077e-04  1.640e-03  2.031e-06* 3.171e-06*
 68     0.000124836637 -2.593e-09* 1.294e-03  2.702e-03  9.057e-07* 1.719e-06*
 69     0.000124816602 -2.004e-08* 7.140e-04  1.443e-03  1.688e-06* 3.292e-06*
 70     0.000124815161 -1.441e-09* 1.034e-03  2.678e-03  6.638e-07* 1.303e-06*
 71     0.000124800017 -1.514e-08* 6.290e-04  1.407e-03  1.732e-06* 3.500e-06*
 72     0.000124798738 -1.278e-09* 9.217e-04  1.954e-03  7.676e-07* 1.571e-06*
 73     0.000124789161 -9.577e-09* 5.040e-04  8.614e-04  1.248e-06* 1.895e-06*
 74     0.000124788575 -5.864e-10* 7.489e-04  1.619e-03  4.552e-07* 7.470e-07*
 75     0.000124775027 -1.355e-08* 8.813e-04  1.812e-03  2.277e-06* 3.555e-06*
 76     0.000124745460 -2.957e-08* 1.119e-03  2.386e-03  6.170e-06* 1.043e-05*
 77     0.000124719714 -2.575e-08* 9.646e-04  2.985e-03  5.717e-06* 8.992e-06*
 78     0.000124697166 -2.255e-08* 1.316e-03  2.837e-03  1.145e-05* 1.860e-05*
 79     0.000124683777 -1.339e-08* 5.332e-04  1.018e-03  1.732e-06* 3.087e-06*
 80     0.000124683449 -3.276e-10* 6.365e-04  1.183e-03  3.190e-07* 6.186e-07*
 81     0.000124676763 -6.686e-09* 4.583e-04  1.214e-03  1.277e-06* 2.545e-06*
 82     0.000124674612 -2.150e-09* 6.029e-04  2.007e-03  1.181e-06* 2.294e-06*
 83     0.000124671496 -3.117e-09* 2.022e-04  6.114e-04  5.392e-07* 7.601e-07*
 84     0.000124671475 -2.124e-11* 2.184e-04  6.488e-04  4.799e-08* 7.017e-08*
 85     0.000124671078 -3.970e-10* 5.709e-05* 9.883e-05* 1.676e-07* 2.659e-07*
