  1   458.170041144679 -8.767e+01  4.846e+01  1.178e+02  5.789e-02  1.812e-01 
  2   411.066276781255 -4.710e+01  3.632e+01  8.245e+01  3.326e-02  8.447e-02 
  3   404.864040139276 -6.202e+00  4.975e+01  1.186e+02  1.701e-02  4.140e-02 
  4   325.218437056224 -7.965e+01  3.823e+01  9.351e+01  6.099e-02  2.013e-01 
  5   292.785473682032 -3.243e+01  5.006e+01  1.963e+02  6.256e-02  1.447e-01 
  6   250.293979189034 -4.249e+01  2.239e+01  7.980e+01  3.495e-02  6.861e-02 
  7   249.065672998165 -1.228e+00  2.714e+01  1.063e+02  7.306e-03  1.280e-02 
  8   226.579911987467 -2.249e+01  2.253e+01  7.376e+01  3.287e-02  6.082e-02 
  9   204.252667642213 -2.233e+01  3.721e+01  8.787e+01  6.800e-02  1.375e-01 
 10   171.719775866670 -3.253e+01  2.525e+01  6.323e+01  3.650e-02  9.589e-02 
 11   162.826920306276 -8.893e+00  3.290e+01  1.109e+02  2.722e-02  6.866e-02 
 12   140.578422749069 -2.225e+01  2.053e+01  5.968e+01  2.744e-02  6.854e-02 
 13   135.796847988813 -4.782e+00  2.913e+01  9.778e+01  1.918e-02  5.822e-02 
 14   116.717418247775 -1.908e+01  1.562e+01  5.946e+01  2.682e-02  6.938e-02 
 15   115.479976939289 -1.237e+00  2.117e+01  8.805e+01  9.684e-03  2.754e-02 
 16   104.354490273045 -1.113e+01  1.203e+01  4.402e+01  2.280e-02  5.634e-02 
 17   103.435960877139 -9.185e-01  1.708e+01  6.461e+01  9.520e-03  2.457e-02 
 18    96.158951928010 -7.277e+00  9.940e+00  2.409e+01  1.962e-02  4.774e-02 
 19    95.602785673908 -5.562e-01  1.435e+01  4.514e+01  7.992e-03  2.134e-02 
 20    89.843289690291 -5.759e+00  8.545e+00  2.323e+01  1.858e-02  4.520e-02 
 21    89.319040964595 -5.242e-01  1.308e+01  4.370e+01  8.752e-03  2.436e-02 
 22    84.614760632593 -4.704e+00  7.751e+00  2.687e+01  1.787e-02  5.131e-02 
 23    84.299595417619 -3.152e-01  1.136e+01  4.053e+01  7.014e-03  2.101e-02 
 24    80.708224932564 -3.591e+00  6.981e+00  2.724e+01  1.594e-02  3.942e-02 
 25    80.354506339483 -3.537e-01  1.087e+01  4.093e+01  7.912e-03  2.011e-02 
 26    77.196691846012 -3.158e+00  6.270e+00  2.681e+01  1.492e-02  3.442e-02 
 27    76.998683163888 -1.980e-01  9.308e+00  4.062e+01  5.617e-03  1.339e-02 
 28    74.280682765311 -2.718e+00  6.079e+00  2.263e+01  1.575e-02  3.588e-02 
 29    73.923780915153 -3.569e-01  1.008e+01  3.801e+01  9.784e-03  2.153e-02 
 30    71.478698947801 -2.445e+00  4.441e+00  1.443e+01  1.307e-02  2.963e-02 
 31    71.457681357465 -2.102e-02  5.419e+00  1.658e+01  1.454e-03  3.047e-03 
 32    70.037883086755 -1.420e+00  4.906e+00  1.716e+01  1.502e-02  3.139e-02 
 33    68.239716788851 -1.798e+00  6.855e+00  2.381e+01  4.165e-02  8.816e-02 
 34    67.370766820617 -8.689e-01  3.125e+00  1.352e+01  6.338e-03  1.610e-02 
 35    67.320197810387 -5.057e-02  3.944e+00  1.659e+01  1.938e-03  4.894e-03 
 36    66.851685377642 -4.685e-01  2.807e+00  8.589e+00  5.144e-03  1.397e-02 
 37    66.643949560813 -2.077e-01  4.656e+00  1.275e+01  6.311e-03  2.172e-02 
 38    66.172325617229 -4.716e-01  2.313e+00  4.849e+00  4.218e-03  1.391e-02 
 39    66.147021456103 -2.530e-02  3.150e+00  7.811e+00  1.336e-03  5.217e-03 
 40    65.769444144074 -3.776e-01  2.718e+00  9.665e+00  5.291e-03  2.192e-02 
 41    65.059780640076 -7.097e-01  6.579e+00  2.738e+01  2.090e-02  9.978e-02 
 42    64.064705670129 -9.951e-01  4.353e+00  1.934e+01  6.215e-03  2.495e-02 
 43    63.782276713430 -2.824e-01  6.687e+00  2.326e+01  5.526e-03  2.619e-02 
 44    62.816203855607 -9.661e-01  3.261e+00  5.392e+00  5.919e-03  2.565e-02 
 45    62.777405170592 -3.880e-02  4.474e+00  9.734e+00  1.597e-03  8.200e-03 
 46    61.286416090751 -1.491e+00  7.111e+00  2.301e+01  1.506e-02  8.519e-02 
 47    59.134134007171 -2.152e+00  7.548e+00  3.645e+01  1.545e-02  8.573e-02 
 48    41.461144368668 -1.767e+01  1.703e+01  7.304e+01  1.177e-01  6.983e-01 
 49    33.247868891248 -8.213e+00  9.693e+00  2.342e+01  2.419e-02  8.897e-02 
 50    32.414474314649 -8.334e-01  1.251e+01  2.808e+01  1.044e-02  4.068e-02 
