#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\lif.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\lif.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\lif.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\lif.xyz
# RANDOMSEED 2571494957
# TEMPERATURE 0.000000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 4.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.003000 ps
# TOTALTIME 4.000000 ps
# TIMESTEP 0.001000 ps
# EQTIME 0.000000 ps
# EQRATE 0.500000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000 -2.98935e+01  5.962e-23 -2.989e+01 -2.989e+01  0.000e+00  0.000e+00 -7.776e-03 -2.989e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.340e-21  0.000e+00
 0.0050 -2.98934e+01  4.556e-01 -3.035e+01 -3.035e+01  0.000e+00  0.000e+00 -8.092e-03 -3.034e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  7.642e+01  3.943e+02
 0.0100 -2.98932e+01  1.570e+00 -3.146e+01 -3.146e+01  0.000e+00  0.000e+00 -8.895e-03 -3.145e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.633e+02  4.151e+02
 0.0150 -2.98927e+01  3.459e+00 -3.335e+01 -3.335e+01  0.000e+00  0.000e+00 -1.036e-02 -3.334e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.801e+02  4.501e+02
 0.0200 -2.98918e+01  6.315e+00 -3.621e+01 -3.621e+01  0.000e+00  0.000e+00 -1.283e-02 -3.619e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.059e+03  5.027e+02
 0.0250 -2.98903e+01  1.048e+01 -4.037e+01 -4.037e+01  0.000e+00  0.000e+00 -1.689e-02 -4.035e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.757e+03  5.785e+02
 0.0300 -2.98875e+01  1.654e+01 -4.642e+01 -4.642e+01  0.000e+00  0.000e+00 -2.343e-02 -4.640e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.774e+03  6.876e+02
 0.0350 -2.98816e+01  2.562e+01 -5.550e+01 -5.550e+01  0.000e+00  0.000e+00 -3.146e-02 -5.547e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.297e+03  8.486e+02
 0.0400 -2.98678e+01  4.005e+01 -6.992e+01 -6.992e+01  0.000e+00  0.000e+00 -6.682e-03 -6.991e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  6.718e+03  1.098e+03
 0.0450 -2.98533e+01  6.506e+01 -9.491e+01 -9.491e+01  0.000e+00  0.000e+00  8.004e-01 -9.571e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.091e+04  1.471e+03
 0.0500 -3.26564e+01  7.045e+01 -1.031e+02 -1.031e+02  0.000e+00  0.000e+00  4.712e+01 -1.502e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.182e+04 -1.292e+03
 0.0550 -3.08783e+01  8.610e+01 -1.170e+02 -1.170e+02  0.000e+00  0.000e+00  1.735e+01 -1.343e+02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.444e+04  7.959e+02
 0.0600 -2.98228e+01  5.818e+01 -8.800e+01 -8.800e+01  0.000e+00  0.000e+00  3.562e-01 -8.836e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  9.759e+03  1.383e+03
 0.0650 -2.98447e+01  3.618e+01 -6.603e+01 -6.603e+01  0.000e+00  0.000e+00 -2.267e-02 -6.601e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  6.069e+03  1.032e+03
 0.0700 -2.98560e+01  2.326e+01 -5.311e+01 -5.311e+01  0.000e+00  0.000e+00 -2.995e-02 -5.308e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.901e+03  8.068e+02
