#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_6_f_lowE.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_6_f_lowE.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f_lowE.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f_lowE.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 4.500000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.500000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.1150  3.78165e+00  6.083e+01 -5.705e+01 -7.036e+01  1.331e+01  0.000e+00  2.699e+01 -9.735e+01  1.012e+01  3.183e+00  0.000e+00  0.000e+00  1.074e+03  6.389e+02
 0.1200  2.66482e+00  5.360e+01 -5.093e+01 -7.969e+01  2.876e+01  0.000e+00  3.937e+01 -1.191e+02  1.484e+01  1.391e+01  0.000e+00  0.000e+00  9.463e+02 -4.189e+02
 0.1250  1.65173e+00  4.852e+01 -4.687e+01 -6.614e+01  1.927e+01  0.000e+00  4.686e+01 -1.130e+02  1.325e+01  6.020e+00  0.000e+00  0.000e+00  8.567e+02 -3.768e+02
 0.1300  7.88282e-01  4.382e+01 -4.303e+01 -6.712e+01  2.409e+01  0.000e+00  3.947e+01 -1.066e+02  1.855e+01  5.544e+00  0.000e+00  0.000e+00  7.738e+02 -6.675e+02
 0.1350 -1.58910e-01  4.739e+01 -4.754e+01 -7.412e+01  2.658e+01  0.000e+00  2.288e+01 -9.700e+01  1.370e+01  1.288e+01  0.000e+00  0.000e+00  8.367e+02  7.244e+02
 0.1400 -1.25172e+00  5.249e+01 -5.375e+01 -7.455e+01  2.080e+01  0.000e+00  1.177e+01 -8.632e+01  1.581e+01  4.991e+00  0.000e+00  0.000e+00  9.269e+02  1.104e+03
 0.1450 -2.33337e+00  5.218e+01 -5.452e+01 -6.962e+01  1.511e+01  0.000e+00  6.011e+00 -7.563e+01  9.570e+00  5.538e+00  0.000e+00  0.000e+00  9.214e+02  1.388e+03
 0.1500 -3.33515e+00  5.007e+01 -5.340e+01 -7.225e+01  1.885e+01  0.000e+00  3.002e+00 -7.525e+01  6.525e+00  1.232e+01  0.000e+00  0.000e+00  8.840e+02  1.395e+03
 0.1550 -4.31758e+00  4.750e+01 -5.182e+01 -6.498e+01  1.317e+01  0.000e+00  1.633e+00 -6.662e+01  5.635e+00  7.531e+00  0.000e+00  0.000e+00  8.387e+02  1.351e+03
 0.1600 -5.24589e+00  4.802e+01 -5.326e+01 -6.263e+01  9.372e+00  0.000e+00  9.869e-01 -6.362e+01  4.899e+00  4.473e+00  0.000e+00  0.000e+00  8.478e+02  1.658e+03
 0.1650 -6.10712e+00  4.540e+01 -5.151e+01 -6.747e+01  1.596e+01  0.000e+00  8.270e-01 -6.829e+01  7.758e+00  8.202e+00  0.000e+00  0.000e+00  8.016e+02  1.046e+03
 0.1700 -6.95199e+00  3.923e+01 -4.618e+01 -6.082e+01  1.463e+01  0.000e+00  1.064e+00 -6.188e+01  8.631e+00  6.003e+00  0.000e+00  0.000e+00  6.927e+02  1.854e+03
 0.1750 -7.75972e+00  3.620e+01 -4.396e+01 -6.043e+01  1.646e+01  0.000e+00  1.434e+00 -6.186e+01  9.569e+00  6.894e+00  0.000e+00  0.000e+00  6.392e+02  9.499e+02
 0.1800 -8.47700e+00  3.619e+01 -4.467e+01 -6.017e+01  1.550e+01  0.000e+00  1.927e+00 -6.209e+01  8.247e+00  7.251e+00  0.000e+00  0.000e+00  6.390e+02  1.281e+03
 0.1850 -9.15227e+00  3.501e+01 -4.416e+01 -5.527e+01  1.111e+01  0.000e+00  2.271e+00 -5.754e+01  7.006e+00  4.101e+00  0.000e+00  0.000e+00  6.181e+02  1.160e+03
 0.1900 -9.85536e+00  3.722e+01 -4.708e+01 -6.221e+01  1.513e+01  0.000e+00  2.377e+00 -6.459e+01  5.826e+00  9.305e+00  0.000e+00  0.000e+00  6.572e+02  1.119e+03
 0.1950 -1.05820e+01  4.244e+01 -5.302e+01 -6.345e+01  1.042e+01  0.000e+00  2.707e+00 -6.615e+01  3.656e+00  6.768e+00  0.000e+00  0.000e+00  7.494e+02  1.391e+03
 0.2000 -1.13092e+01  4.005e+01 -5.136e+01 -5.959e+01  8.232e+00  0.000e+00  3.027e+00 -6.262e+01  4.568e+00  3.663e+00  0.000e+00  0.000e+00  7.072e+02  1.109e+03
 0.2050 -1.20260e+01  3.468e+01 -4.670e+01 -6.693e+01  2.023e+01  0.000e+00  3.404e+00 -7.034e+01  8.054e+00  1.218e+01  0.000e+00  0.000e+00  6.123e+02  1.342e+03
 0.2100 -1.27538e+01  3.581e+01 -4.856e+01 -6.341e+01  1.485e+01  0.000e+00  4.233e+00 -6.764e+01  1.055e+01  4.299e+00  0.000e+00  0.000e+00  6.323e+02  1.001e+03
 0.2150 -1.34918e+01  3.700e+01 -5.049e+01 -6.735e+01  1.686e+01  0.000e+00  5.306e+00 -7.266e+01  1.355e+01  3.304e+00  0.000e+00  0.000e+00  6.533e+02  1.372e+03
 0.2200 -1.42153e+01  3.534e+01 -4.955e+01 -7.144e+01  2.189e+01  0.000e+00  7.204e+00 -7.864e+01  8.487e+00  1.340e+01  0.000e+00  0.000e+00  6.239e+02  8.880e+02
 0.2250 -1.49631e+01  3.798e+01 -5.294e+01 -6.618e+01  1.324e+01  0.000e+00  1.119e+01 -7.738e+01  8.977e+00  4.265e+00  0.000e+00  0.000e+00  6.705e+02  9.102e+02
 0.2300 -1.56548e+01  3.927e+01 -5.492e+01 -6.534e+01  1.042e+01  0.000e+00  1.654e+01 -8.189e+01  5.413e+00  5.010e+00  0.000e+00  0.000e+00  6.933e+02  4.848e+02
 0.2350 -1.62510e+01  3.570e+01 -5.196e+01 -6.687e+01  1.491e+01  0.000e+00  2.206e+01 -8.892e+01  4.324e+00  1.059e+01  0.000e+00  0.000e+00  6.304e+02 -3.148e+01
 0.2400 -1.68855e+01  3.777e+01 -5.466e+01 -6.796e+01  1.330e+01  0.000e+00  2.401e+01 -9.197e+01  8.918e+00  4.385e+00  0.000e+00  0.000e+00  6.669e+02  4.590e+02
 0.2450 -1.75876e+01  4.169e+01 -5.928e+01 -7.226e+01  1.298e+01  0.000e+00  1.999e+01 -9.226e+01  6.208e+00  6.774e+00  0.000e+00  0.000e+00  7.362e+02  2.916e+02
 0.2500 -1.83442e+01  4.492e+01 -6.326e+01 -8.437e+01  2.111e+01  0.000e+00  1.448e+01 -9.885e+01  1.379e+01  7.314e+00  0.000e+00  0.000e+00  7.931e+02  1.216e+03
 0.2550 -1.91751e+01  4.056e+01 -5.974e+01 -7.208e+01  1.234e+01  0.000e+00  1.195e+01 -8.403e+01  7.924e+00  4.419e+00  0.000e+00  0.000e+00  7.162e+02  7.714e+02
 0.2600 -1.99653e+01  3.795e+01 -5.792e+01 -8.179e+01  2.387e+01  0.000e+00  1.162e+01 -9.341e+01  1.429e+01  9.579e+00  0.000e+00  0.000e+00  6.702e+02  1.264e+03
 0.2650 -2.06926e+01  3.978e+01 -6.047e+01 -7.322e+01  1.275e+01  0.000e+00  1.405e+01 -8.727e+01  4.872e+00  7.878e+00  0.000e+00  0.000e+00  7.024e+02  3.132e+02
 0.2700 -2.13868e+01  3.783e+01 -5.921e+01 -7.289e+01  1.368e+01  0.000e+00  1.662e+01 -8.951e+01  9.608e+00  4.073e+00  0.000e+00  0.000e+00  6.679e+02  8.921e+02
 0.2750 -2.21174e+01  4.229e+01 -6.441e+01 -8.114e+01  1.673e+01  0.000e+00  1.551e+01 -9.665e+01  3.457e+00  1.328e+01  0.000e+00  0.000e+00  7.467e+02  6.049e+02
 0.2800 -2.28744e+01  4.736e+01 -7.024e+01 -7.957e+01  9.328e+00  0.000e+00  1.182e+01 -9.139e+01  5.467e+00  3.861e+00  0.000e+00  0.000e+00  8.363e+02  1.175e+03
 0.2850 -2.36046e+01  4.331e+01 -6.692e+01 -7.596e+01  9.044e+00  0.000e+00  7.921e+00 -8.388e+01  6.789e+00  2.255e+00  0.000e+00  0.000e+00  7.648e+02  1.125e+03
 0.2900 -2.43378e+01  4.012e+01 -6.446e+01 -7.907e+01  1.461e+01  0.000e+00  5.228e+00 -8.430e+01  4.217e+00  1.039e+01  0.000e+00  0.000e+00  7.084e+02  1.328e+03
 0.2950 -2.51141e+01  4.205e+01 -6.716e+01 -8.575e+01  1.859e+01  0.000e+00  4.093e+00 -8.985e+01  1.349e+01  5.099e+00  0.000e+00  0.000e+00  7.424e+02  1.662e+03
 0.3000 -2.58831e+01  4.273e+01 -6.861e+01 -7.648e+01  7.871e+00  0.000e+00  4.896e+00 -8.138e+01  5.469e+00  2.403e+00  0.000e+00  0.000e+00  7.544e+02  1.318e+03
 0.3050 -2.66740e+01  3.892e+01 -6.559e+01 -9.158e+01  2.599e+01  0.000e+00  6.685e+00 -9.827e+01  1.691e+01  9.084e+00  0.000e+00  0.000e+00  6.871e+02  1.672e+03
 0.3100 -2.74624e+01  3.961e+01 -6.707e+01 -7.610e+01  9.031e+00  0.000e+00  1.163e+01 -8.773e+01  4.501e+00  4.531e+00  0.000e+00  0.000e+00  6.994e+02  6.756e+02
 0.3150 -2.82181e+01  4.354e+01 -7.175e+01 -8.908e+01  1.732e+01  0.000e+00  1.694e+01 -1.060e+02  1.460e+01  2.721e+00  0.000e+00  0.000e+00  7.687e+02  1.344e+03
 0.3200 -2.89169e+01  3.824e+01 -6.716e+01 -8.400e+01  1.684e+01  0.000e+00  2.253e+01 -1.065e+02  4.170e+00  1.267e+01  0.000e+00  0.000e+00  6.752e+02 -2.233e+02
 0.3250 -2.95611e+01  3.254e+01 -6.210e+01 -7.631e+01  1.421e+01  0.000e+00  2.687e+01 -1.032e+02  9.595e+00  4.615e+00  0.000e+00  0.000e+00  5.745e+02  6.056e+02
 0.3300 -3.01591e+01  3.782e+01 -6.798e+01 -8.026e+01  1.227e+01  0.000e+00  2.637e+01 -1.066e+02  6.603e+00  5.670e+00  0.000e+00  0.000e+00  6.678e+02 -4.947e+02
 0.3350 -3.08080e+01  4.195e+01 -7.276e+01 -8.957e+01  1.681e+01  0.000e+00  2.043e+01 -1.100e+02  8.399e+00  8.413e+00  0.000e+00  0.000e+00  7.407e+02  1.090e+03
