#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\benzene_2.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\benzene_2.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\benzene_2.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\benzene_2.xyz
# RANDOMSEED 278049999
# TEMPERATURE 298.150000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.001000 ps
# GEOMTIME 0.002500 ps
# TOTALTIME 2.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 0.300000 ps
# EQRATE 0.060000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0240  9.31334e+01  4.447e+01  4.866e+01 -4.362e-01  4.910e+01  0.000e+00 -5.977e-01  1.615e-01  1.949e+01  1.625e+01  1.217e+01  1.192e+00  6.216e+02 -1.054e+02
 0.0250  9.29210e+01  4.282e+01  5.010e+01 -4.286e-01  5.053e+01  0.000e+00 -6.015e-01  1.729e-01  2.074e+01  1.589e+01  1.268e+01  1.224e+00  5.985e+02 -1.040e+02
 0.0260  9.26932e+01  4.833e+01  4.436e+01 -4.277e-01  4.479e+01  0.000e+00 -6.022e-01  1.745e-01  1.526e+01  1.538e+01  1.292e+01  1.229e+00  6.756e+02 -7.455e+01
 0.0270  9.24408e+01  5.384e+01  3.860e+01 -4.344e-01  3.904e+01  0.000e+00 -6.004e-01  1.660e-01  1.006e+01  1.482e+01  1.295e+01  1.214e+00  7.526e+02 -1.481e+01
 0.0280  9.21884e+01  5.287e+01  3.932e+01 -4.466e-01  3.977e+01  0.000e+00 -5.973e-01  1.507e-01  1.155e+01  1.419e+01  1.284e+01  1.191e+00  7.390e+02  6.846e+01
 0.0290  9.19667e+01  4.710e+01  4.487e+01 -4.605e-01  4.533e+01  0.000e+00 -5.940e-01  1.335e-01  1.806e+01  1.346e+01  1.265e+01  1.164e+00  6.584e+02  1.611e+02
 0.0300  9.17748e+01  4.407e+01  4.771e+01 -4.719e-01  4.818e+01  0.000e+00 -5.915e-01  1.196e-01  2.199e+01  1.267e+01  1.239e+01  1.136e+00  6.160e+02  2.457e+02
 0.0310  9.15770e+01  4.796e+01  4.362e+01 -4.777e-01  4.409e+01  0.000e+00 -5.906e-01  1.129e-01  1.892e+01  1.197e+01  1.209e+01  1.104e+00  6.704e+02  3.069e+02
 0.0320  9.13402e+01  5.460e+01  3.674e+01 -4.766e-01  3.722e+01  0.000e+00 -5.918e-01  1.152e-01  1.278e+01  1.157e+01  1.180e+01  1.068e+00  7.632e+02  3.362e+02
 0.0330  9.10677e+01  5.638e+01  3.469e+01 -4.697e-01  3.515e+01  0.000e+00 -5.953e-01  1.256e-01  1.102e+01  1.154e+01  1.156e+01  1.030e+00  7.881e+02  3.344e+02
 0.0340  9.07922e+01  5.140e+01  3.939e+01 -4.596e-01  3.985e+01  0.000e+00 -6.002e-01  1.406e-01  1.568e+01  1.177e+01  1.140e+01  9.933e-01  7.186e+02  3.110e+02
 0.0350  9.05341e+01  4.574e+01  4.479e+01 -4.499e-01  4.524e+01  0.000e+00 -6.053e-01  1.554e-01  2.105e+01  1.198e+01  1.126e+01  9.574e-01  6.394e+02  2.812e+02
 0.0360  9.02763e+01  4.633e+01  4.395e+01 -4.441e-01  4.439e+01  0.000e+00 -6.091e-01  1.649e-01  2.049e+01  1.197e+01  1.101e+01  9.188e-01  6.476e+02  2.607e+02
 0.0370  8.99868e+01  5.283e+01  3.715e+01 -4.446e-01  3.760e+01  0.000e+00 -6.109e-01  1.663e-01  1.445e+01  1.174e+01  1.054e+01  8.734e-01  7.385e+02  2.604e+02
 0.0380  8.96594e+01  5.811e+01  3.155e+01 -4.517e-01  3.200e+01  0.000e+00 -6.107e-01  1.590e-01  9.885e+00  1.149e+01  9.796e+00  8.222e-01  8.123e+02  2.830e+02
 0.0390  8.93243e+01  5.661e+01  3.272e+01 -4.639e-01  3.318e+01  0.000e+00 -6.092e-01  1.453e-01  1.204e+01  1.147e+01  8.902e+00  7.753e-01  7.913e+02  3.220e+02
 0.0400  8.90151e+01  5.063e+01  3.839e+01 -4.780e-01  3.887e+01  0.000e+00 -6.071e-01  1.292e-01  1.823e+01  1.182e+01  8.067e+00  7.468e-01  7.077e+02  3.631e+02
 0.0410  8.87304e+01  4.720e+01  4.153e+01 -4.908e-01  4.202e+01  0.000e+00 -6.057e-01  1.149e-01  2.118e+01  1.259e+01  7.503e+00  7.461e-01  6.598e+02  3.893e+02
 0.0420  8.84362e+01  4.959e+01  3.885e+01 -4.995e-01  3.935e+01  0.000e+00 -6.059e-01  1.063e-01  1.765e+01  1.362e+01  7.312e+00  7.713e-01  6.932e+02  3.858e+02
 0.0430  8.81081e+01  5.362e+01  3.449e+01 -5.024e-01  3.499e+01  0.000e+00 -6.081e-01  1.057e-01  1.201e+01  1.469e+01  7.471e+00  8.130e-01  7.495e+02  3.455e+02
 0.0440  8.77608e+01  5.314e+01  3.462e+01 -4.989e-01  3.512e+01  0.000e+00 -6.122e-01  1.133e-01  1.084e+01  1.551e+01  7.906e+00  8.620e-01  7.428e+02  2.714e+02
