#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_5.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_5.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_5.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_5.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 3.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.000000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.1150  1.19783e+01  1.832e+01 -6.341e+00 -1.994e+01  1.360e+01  0.000e+00 -2.761e-01 -1.966e+01  5.857e+00  7.741e+00  0.000e+00  0.000e+00  4.097e+02 -7.907e+01
 0.1200  1.16915e+01  2.430e+01 -1.261e+01 -1.927e+01  6.662e+00  0.000e+00 -2.984e-01 -1.897e+01  6.266e+00  3.955e-01  0.000e+00  0.000e+00  5.435e+02  1.178e+03
 0.1250  1.14186e+01  2.430e+01 -1.288e+01 -1.924e+01  6.356e+00  0.000e+00 -2.974e-01 -1.894e+01  4.286e+00  2.070e+00  0.000e+00  0.000e+00  5.435e+02  4.645e+02
 0.1300  1.11246e+01  2.086e+01 -9.734e+00 -2.198e+01  1.224e+01  0.000e+00 -2.997e-01 -2.168e+01  4.225e+00  8.019e+00  0.000e+00  0.000e+00  4.665e+02  6.588e+02
 0.1350  1.08254e+01  2.477e+01 -1.395e+01 -2.018e+01  6.236e+00  0.000e+00 -2.807e-01 -1.990e+01  4.703e+00  1.533e+00  0.000e+00  0.000e+00  5.540e+02  1.043e+03
 0.1400  1.05557e+01  2.488e+01 -1.433e+01 -1.987e+01  5.545e+00  0.000e+00 -2.271e-01 -1.965e+01  4.652e+00  8.930e-01  0.000e+00  0.000e+00  5.565e+02  1.771e+02
 0.1450  1.02885e+01  1.805e+01 -7.760e+00 -2.191e+01  1.415e+01  0.000e+00 -1.468e-01 -2.177e+01  6.679e+00  7.473e+00  0.000e+00  0.000e+00  4.037e+02  1.316e+03
 0.1500  1.00170e+01  1.831e+01 -8.292e+00 -1.783e+01  9.536e+00  0.000e+00 -1.724e-02 -1.781e+01  5.685e+00  3.850e+00  0.000e+00  0.000e+00  4.095e+02 -1.161e+02
 0.1550  9.76813e+00  2.278e+01 -1.301e+01 -2.091e+01  7.894e+00  0.000e+00  1.809e-01 -2.109e+01  7.008e+00  8.863e-01  0.000e+00  0.000e+00  5.095e+02  1.431e+03
 0.1600  9.51930e+00  2.021e+01 -1.069e+01 -2.182e+01  1.114e+01  0.000e+00  4.491e-01 -2.227e+01  5.752e+00  5.385e+00  0.000e+00  0.000e+00  4.519e+02 -1.730e+02
