#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_6_f.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_6_f.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 4.500000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.500000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.1150  4.11602e+01  6.513e+01 -2.397e+01 -3.984e+01  1.587e+01  0.000e+00  4.040e+00 -4.388e+01  3.191e+00  1.268e+01  0.000e+00  0.000e+00  1.150e+03  1.350e+03
 0.1200  3.96222e+01  7.957e+01 -3.994e+01 -4.731e+01  7.368e+00  0.000e+00  6.611e+00 -5.392e+01  3.301e+00  4.067e+00  0.000e+00  0.000e+00  1.405e+03  1.077e+03
 0.1250  3.76935e+01  8.862e+01 -5.092e+01 -6.075e+01  9.831e+00  0.000e+00  9.213e+00 -6.997e+01  8.544e+00  1.288e+00  0.000e+00  0.000e+00  1.565e+03  2.673e+03
 0.1300  3.56654e+01  8.720e+01 -5.153e+01 -6.687e+01  1.534e+01  0.000e+00  1.167e+01 -7.855e+01  8.686e+00  6.655e+00  0.000e+00  0.000e+00  1.540e+03  9.326e+02
 0.1350  3.36711e+01  7.179e+01 -3.812e+01 -5.988e+01  2.175e+01  0.000e+00  1.435e+01 -7.422e+01  1.177e+01  9.989e+00  0.000e+00  0.000e+00  1.268e+03  2.168e+03
 0.1400  3.18680e+01  7.242e+01 -4.055e+01 -5.901e+01  1.846e+01  0.000e+00  1.814e+01 -7.715e+01  1.070e+01  7.762e+00  0.000e+00  0.000e+00  1.279e+03  1.932e+02
 0.1450  3.02027e+01  6.796e+01 -3.775e+01 -5.627e+01  1.852e+01  0.000e+00  2.636e+01 -8.263e+01  1.121e+01  7.302e+00  0.000e+00  0.000e+00  1.200e+03  9.112e+02
 0.1500  2.85057e+01  6.556e+01 -3.705e+01 -5.612e+01  1.907e+01  0.000e+00  3.615e+01 -9.227e+01  1.257e+01  6.496e+00  0.000e+00  0.000e+00  1.158e+03 -1.085e+02
 0.1550  2.68340e+01  7.500e+01 -4.816e+01 -6.036e+01  1.219e+01  0.000e+00  2.978e+01 -9.014e+01  5.196e+00  6.997e+00  0.000e+00  0.000e+00  1.324e+03  3.293e+02
 0.1600  2.49298e+01  7.866e+01 -5.373e+01 -6.964e+01  1.591e+01  0.000e+00  2.002e+01 -8.965e+01  1.298e+01  2.927e+00  0.000e+00  0.000e+00  1.389e+03  1.825e+03
