#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\d-glucose.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\d-glucose.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\d-glucose.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\d-glucose.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 500.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    120  8.13121e+01 -2.179e+01  1.031e+02  0.000e+00 -2.246e+00 -1.954e+01  9.871e+00  7.520e+01  1.803e+01  0.000e+00
    124  7.85684e+01 -2.172e+01  1.003e+02  0.000e+00 -2.254e+00 -1.947e+01  1.255e+01  6.950e+01  1.823e+01  0.000e+00
    128  7.76840e+01 -2.161e+01  9.930e+01  0.000e+00 -2.258e+00 -1.935e+01  9.848e+00  7.109e+01  1.836e+01  0.000e+00
    132  7.80060e+01 -2.166e+01  9.966e+01  0.000e+00 -2.251e+00 -1.941e+01  1.194e+01  6.953e+01  1.820e+01  0.000e+00
    136  7.52763e+01 -2.174e+01  9.702e+01  0.000e+00 -2.255e+00 -1.948e+01  1.026e+01  6.832e+01  1.844e+01  0.000e+00
    140  7.58259e+01 -2.165e+01  9.748e+01  0.000e+00 -2.253e+00 -1.940e+01  1.004e+01  6.908e+01  1.836e+01  0.000e+00
    144  7.83738e+01 -2.163e+01  1.000e+02  0.000e+00 -2.255e+00 -1.937e+01  1.288e+01  6.887e+01  1.826e+01  0.000e+00
    148  7.73095e+01 -2.164e+01  9.895e+01  0.000e+00 -2.251e+00 -1.939e+01  1.529e+01  6.524e+01  1.842e+01  0.000e+00
    152  7.75216e+01 -2.155e+01  9.907e+01  0.000e+00 -2.259e+00 -1.929e+01  1.485e+01  6.576e+01  1.847e+01  0.000e+00
    156  7.63859e+01 -2.168e+01  9.807e+01  0.000e+00 -2.260e+00 -1.942e+01  1.522e+01  6.464e+01  1.821e+01  0.000e+00
    160  7.25114e+01 -2.172e+01  9.423e+01  0.000e+00 -2.247e+00 -1.948e+01  1.281e+01  6.297e+01  1.845e+01  0.000e+00
    164  7.21078e+01 -2.176e+01  9.387e+01  0.000e+00 -2.244e+00 -1.951e+01  1.597e+01  5.924e+01  1.866e+01  0.000e+00
    168  6.98959e+01 -2.182e+01  9.172e+01  0.000e+00 -2.263e+00 -1.956e+01  1.620e+01  5.640e+01  1.911e+01  0.000e+00
    172  7.10026e+01 -2.184e+01  9.284e+01  0.000e+00 -2.278e+00 -1.956e+01  1.767e+01  5.604e+01  1.914e+01  0.000e+00
