#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\hexane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\hexane_optim.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.xyz
# RANDOMSEED 558222221
# TEMPERATURE 500.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 10.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 60000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    144  2.05015e+01 -1.617e-01  2.066e+01  0.000e+00 -4.706e-01  3.089e-01  5.640e+00  1.413e+01  8.973e-01  0.000e+00
    148  2.18479e+01 -1.540e-01  2.200e+01  0.000e+00 -4.663e-01  3.122e-01  6.442e+00  1.463e+01  9.251e-01  0.000e+00
    152  1.96870e+01 -1.459e-01  1.983e+01  0.000e+00 -4.590e-01  3.131e-01  3.634e+00  1.529e+01  9.119e-01  0.000e+00
    156  1.92574e+01 -8.824e-02  1.935e+01  0.000e+00 -4.039e-01  3.157e-01  4.626e+00  1.386e+01  8.580e-01  0.000e+00
    160  2.19063e+01 -1.604e-02  2.192e+01  0.000e+00 -3.341e-01  3.181e-01  6.060e+00  1.504e+01  8.267e-01  0.000e+00
    164  2.22014e+01 -1.274e-02  2.221e+01  0.000e+00 -3.280e-01  3.152e-01  6.714e+00  1.465e+01  8.511e-01  0.000e+00
    168  2.02925e+01 -1.127e-02  2.030e+01  0.000e+00 -3.272e-01  3.159e-01  5.264e+00  1.420e+01  8.361e-01  0.000e+00
    172  1.83809e+01 -8.710e-03  1.839e+01  0.000e+00 -3.240e-01  3.153e-01  4.516e+00  1.304e+01  8.297e-01  0.000e+00
    176  1.62434e+01  1.080e-02  1.623e+01  0.000e+00 -3.067e-01  3.175e-01  3.736e+00  1.170e+01  7.976e-01  0.000e+00
    180  1.59054e+01 -2.070e-02  1.593e+01  0.000e+00 -3.362e-01  3.155e-01  2.675e+00  1.240e+01  8.511e-01  0.000e+00
    184  1.70519e+01 -3.404e-02  1.709e+01  0.000e+00 -3.493e-01  3.152e-01  4.680e+00  1.158e+01  8.221e-01  0.000e+00
    188  1.71841e+01 -1.136e-02  1.720e+01  0.000e+00 -3.248e-01  3.135e-01  4.006e+00  1.242e+01  7.740e-01  0.000e+00
    192  1.70795e+01 -2.305e-02  1.710e+01  0.000e+00 -3.341e-01  3.111e-01  3.700e+00  1.261e+01  7.942e-01  0.000e+00
    196  2.11232e+01 -4.030e-02  2.116e+01  0.000e+00 -3.529e-01  3.126e-01  6.366e+00  1.397e+01  8.233e-01  0.000e+00
    200  2.30811e+01  2.410e-02  2.306e+01  0.000e+00 -2.940e-01  3.181e-01  7.603e+00  1.460e+01  8.506e-01  0.000e+00
    204  2.30547e+01  2.554e-02  2.303e+01  0.000e+00 -2.895e-01  3.150e-01  6.151e+00  1.600e+01  8.813e-01  0.000e+00
    208  2.31019e+01  2.292e-02  2.308e+01  0.000e+00 -2.965e-01  3.194e-01  6.801e+00  1.540e+01  8.778e-01  0.000e+00
    212  2.00667e+01  1.368e-02  2.005e+01  0.000e+00 -3.033e-01  3.170e-01  8.027e+00  1.132e+01  7.032e-01  0.000e+00
    216  2.40813e+01  1.792e-02  2.406e+01  0.000e+00 -2.963e-01  3.142e-01  1.066e+01  1.266e+01  7.445e-01  0.000e+00
    220  2.21825e+01  5.846e-02  2.212e+01  0.000e+00 -2.564e-01  3.148e-01  9.857e+00  1.150e+01  7.702e-01  0.000e+00
    224  2.22196e+01  1.184e-01  2.210e+01  0.000e+00 -1.977e-01  3.161e-01  8.782e+00  1.247e+01  8.509e-01  0.000e+00
    228  2.09244e+01  1.872e-02  2.091e+01  0.000e+00 -2.966e-01  3.153e-01  8.707e+00  1.138e+01  8.195e-01  0.000e+00
    232  2.09052e+01  1.486e-02  2.089e+01  0.000e+00 -3.006e-01  3.155e-01  9.686e+00  1.049e+01  7.176e-01  0.000e+00
    236  2.05345e+01 -2.466e-02  2.056e+01  0.000e+00 -3.392e-01  3.145e-01  9.307e+00  1.051e+01  7.452e-01  0.000e+00
    240  2.12808e+01 -2.322e-02  2.130e+01  0.000e+00 -3.393e-01  3.161e-01  9.023e+00  1.145e+01  8.274e-01  0.000e+00
    244  2.24887e+01 -7.011e-02  2.256e+01  0.000e+00 -3.832e-01  3.131e-01  9.290e+00  1.238e+01  8.859e-01  0.000e+00
    248  2.03869e+01 -4.622e-02  2.043e+01  0.000e+00 -3.610e-01  3.147e-01  8.078e+00  1.148e+01  8.748e-01  0.000e+00
    252  2.04766e+01 -2.744e-02  2.050e+01  0.000e+00 -3.414e-01  3.139e-01  8.038e+00  1.160e+01  8.639e-01  0.000e+00
    256  2.05370e+01 -4.529e-02  2.058e+01  0.000e+00 -3.528e-01  3.075e-01  6.464e+00  1.324e+01  8.832e-01  0.000e+00
    260  1.91467e+01 -3.335e-02  1.918e+01  0.000e+00 -3.419e-01  3.085e-01  6.896e+00  1.147e+01  8.143e-01  0.000e+00
    264  1.80423e+01 -6.312e-02  1.811e+01  0.000e+00 -3.732e-01  3.100e-01  7.335e+00  9.977e+00  7.932e-01  0.000e+00
    268  1.88665e+01 -8.316e-02  1.895e+01  0.000e+00 -3.906e-01  3.074e-01  7.328e+00  1.075e+01  8.745e-01  0.000e+00
    272  1.78348e+01 -2.486e-02  1.786e+01  0.000e+00 -3.346e-01  3.098e-01  6.415e+00  1.052e+01  9.223e-01  0.000e+00
    276  1.79259e+01 -1.714e-02  1.794e+01  0.000e+00 -3.272e-01  3.100e-01  7.470e+00  9.546e+00  9.270e-01  0.000e+00
    280  1.85204e+01  7.872e-02  1.844e+01  0.000e+00 -2.334e-01  3.121e-01  7.644e+00  9.920e+00  8.783e-01  0.000e+00
    284  1.69327e+01  1.461e-01  1.679e+01  0.000e+00 -1.644e-01  3.105e-01  6.651e+00  9.355e+00  7.807e-01  0.000e+00
    288  1.74988e+01  1.606e-02  1.748e+01  0.000e+00 -2.925e-01  3.086e-01  8.464e+00  8.310e+00  7.091e-01  0.000e+00
    292  2.41464e+01 -1.158e-02  2.416e+01  0.000e+00 -3.162e-01  3.046e-01  1.482e+01  8.638e+00  7.009e-01  0.000e+00
    296  2.45109e+01  7.795e-03  2.450e+01  0.000e+00 -2.970e-01  3.048e-01  1.400e+01  9.722e+00  7.767e-01  0.000e+00
    300  1.93999e+01  3.631e-03  1.940e+01  0.000e+00 -2.993e-01  3.030e-01  8.992e+00  9.639e+00  7.647e-01  0.000e+00
    304  1.87707e+01 -1.066e-02  1.878e+01  0.000e+00 -3.155e-01  3.048e-01  8.177e+00  9.811e+00  7.931e-01  0.000e+00
    308  2.06590e+01  5.953e-02  2.060e+01  0.000e+00 -2.432e-01  3.027e-01  9.849e+00  1.002e+01  7.300e-01  0.000e+00
    312  1.90745e+01  5.956e-02  1.901e+01  0.000e+00 -2.455e-01  3.050e-01  7.655e+00  1.059e+01  7.652e-01  0.000e+00
    316  1.89202e+01  1.105e-01  1.881e+01  0.000e+00 -1.947e-01  3.052e-01  6.539e+00  1.143e+01  8.379e-01  0.000e+00
    320  2.25038e+01  7.854e-02  2.243e+01  0.000e+00 -2.277e-01  3.062e-01  1.111e+01  1.049e+01  8.182e-01  0.000e+00
    324  2.40109e+01  7.892e-02  2.393e+01  0.000e+00 -2.319e-01  3.108e-01  1.167e+01  1.137e+01  8.939e-01  0.000e+00
    328  2.77795e+01  4.264e-02  2.774e+01  0.000e+00 -2.650e-01  3.076e-01  1.446e+01  1.236e+01  9.210e-01  0.000e+00
    332  2.83299e+01 -2.718e-02  2.836e+01  0.000e+00 -3.337e-01  3.065e-01  1.423e+01  1.316e+01  9.697e-01  0.000e+00
    336  2.68954e+01  2.646e-02  2.687e+01  0.000e+00 -2.836e-01  3.101e-01  1.327e+01  1.262e+01  9.859e-01  0.000e+00
    340  2.75118e+01  4.550e-02  2.747e+01  0.000e+00 -2.661e-01  3.116e-01  1.366e+01  1.283e+01  9.838e-01  0.000e+00
    344  2.59595e+01  8.163e-02  2.588e+01  0.000e+00 -2.271e-01  3.087e-01  1.102e+01  1.387e+01  9.876e-01  0.000e+00
    348  2.74910e+01  3.544e-02  2.746e+01  0.000e+00 -2.710e-01  3.064e-01  1.262e+01  1.393e+01  9.041e-01  0.000e+00
    352  2.77465e+01  3.593e-02  2.771e+01  0.000e+00 -2.701e-01  3.061e-01  1.418e+01  1.267e+01  8.615e-01  0.000e+00
    356  2.47066e+01  6.551e-02  2.464e+01  0.000e+00 -2.433e-01  3.089e-01  1.257e+01  1.122e+01  8.473e-01  0.000e+00
    360  2.06114e+01  8.875e-02  2.052e+01  0.000e+00 -2.185e-01  3.073e-01  8.234e+00  1.148e+01  8.099e-01  0.000e+00
    364  2.05214e+01  9.122e-02  2.043e+01  0.000e+00 -2.175e-01  3.087e-01  7.285e+00  1.225e+01  8.952e-01  0.000e+00
    368  2.45562e+01  8.296e-02  2.447e+01  0.000e+00 -2.225e-01  3.054e-01  1.045e+01  1.309e+01  9.397e-01  0.000e+00
    372  2.71628e+01  7.823e-02  2.708e+01  0.000e+00 -2.253e-01  3.035e-01  1.229e+01  1.387e+01  9.208e-01  0.000e+00
    376  2.66485e+01  1.159e-01  2.653e+01  0.000e+00 -1.913e-01  3.072e-01  1.261e+01  1.298e+01  9.419e-01  0.000e+00
    380  2.66072e+01  8.655e-02  2.652e+01  0.000e+00 -2.200e-01  3.066e-01  1.208e+01  1.350e+01  9.387e-01  0.000e+00
    384  2.55736e+01  7.913e-02  2.549e+01  0.000e+00 -2.254e-01  3.046e-01  1.191e+01  1.274e+01  8.412e-01  0.000e+00
    388  2.38551e+01  1.102e-01  2.374e+01  0.000e+00 -1.957e-01  3.059e-01  1.035e+01  1.262e+01  7.764e-01  0.000e+00
    392  2.28103e+01  1.305e-01  2.268e+01  0.000e+00 -1.742e-01  3.047e-01  8.215e+00  1.368e+01  7.813e-01  0.000e+00
    396  2.57041e+01  1.656e-01  2.554e+01  0.000e+00 -1.397e-01  3.053e-01  1.012e+01  1.465e+01  7.671e-01  0.000e+00
    400  2.34705e+01  1.921e-01  2.328e+01  0.000e+00 -1.147e-01  3.068e-01  7.627e+00  1.495e+01  6.982e-01  0.000e+00
    404  2.03498e+01  1.981e-01  2.015e+01  0.000e+00 -1.081e-01  3.062e-01  5.004e+00  1.437e+01  7.770e-01  0.000e+00
