#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 500.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    144  1.45704e+01  4.153e-01  1.416e+01  0.000e+00 -5.509e-02  4.704e-01  2.746e+00  1.052e+01  8.848e-01  0.000e+00
    148  1.61879e+01  4.111e-01  1.578e+01  0.000e+00 -5.725e-02  4.683e-01  3.060e+00  1.174e+01  9.754e-01  0.000e+00
    152  1.54359e+01  4.068e-01  1.503e+01  0.000e+00 -6.134e-02  4.682e-01  2.663e+00  1.130e+01  1.063e+00  0.000e+00
    156  1.71797e+01  4.185e-01  1.676e+01  0.000e+00 -5.111e-02  4.696e-01  3.616e+00  1.213e+01  1.017e+00  0.000e+00
    160  1.95603e+01  4.157e-01  1.914e+01  0.000e+00 -5.474e-02  4.704e-01  5.600e+00  1.246e+01  1.085e+00  0.000e+00
    164  1.99803e+01  4.256e-01  1.955e+01  0.000e+00 -4.451e-02  4.701e-01  6.667e+00  1.184e+01  1.044e+00  0.000e+00
    168  1.76436e+01  4.221e-01  1.722e+01  0.000e+00 -4.920e-02  4.713e-01  4.413e+00  1.166e+01  1.149e+00  0.000e+00
    172  1.89615e+01  4.211e-01  1.854e+01  0.000e+00 -5.197e-02  4.731e-01  4.674e+00  1.278e+01  1.082e+00  0.000e+00
    176  1.92661e+01  4.194e-01  1.885e+01  0.000e+00 -5.336e-02  4.728e-01  3.541e+00  1.415e+01  1.155e+00  0.000e+00
    180  2.09391e+01  4.155e-01  2.052e+01  0.000e+00 -5.541e-02  4.709e-01  3.886e+00  1.553e+01  1.107e+00  0.000e+00
    184  1.98186e+01  4.110e-01  1.941e+01  0.000e+00 -6.025e-02  4.713e-01  2.714e+00  1.559e+01  1.106e+00  0.000e+00
    188  1.83192e+01  4.067e-01  1.791e+01  0.000e+00 -6.475e-02  4.715e-01  1.214e+00  1.552e+01  1.174e+00  0.000e+00
    192  1.80592e+01  4.079e-01  1.765e+01  0.000e+00 -6.476e-02  4.726e-01  2.082e+00  1.435e+01  1.218e+00  0.000e+00
    196  1.73267e+01  4.113e-01  1.692e+01  0.000e+00 -6.361e-02  4.749e-01  3.312e+00  1.244e+01  1.158e+00  0.000e+00
    200  1.64800e+01  4.138e-01  1.607e+01  0.000e+00 -6.147e-02  4.753e-01  2.682e+00  1.227e+01  1.113e+00  0.000e+00
    204  1.35422e+01  4.023e-01  1.314e+01  0.000e+00 -6.992e-02  4.722e-01  3.294e+00  8.786e+00  1.060e+00  0.000e+00
    208  1.24954e+01  4.133e-01  1.208e+01  0.000e+00 -6.344e-02  4.767e-01  1.593e+00  9.371e+00  1.118e+00  0.000e+00
    212  1.20896e+01  4.160e-01  1.167e+01  0.000e+00 -6.109e-02  4.771e-01  1.842e+00  8.702e+00  1.130e+00  0.000e+00
    216  1.43071e+01  4.319e-01  1.388e+01  0.000e+00 -4.887e-02  4.808e-01  3.268e+00  9.472e+00  1.136e+00  0.000e+00
    220  1.27824e+01  4.287e-01  1.235e+01  0.000e+00 -5.025e-02  4.789e-01  4.165e+00  7.039e+00  1.150e+00  0.000e+00
    224  1.48459e+01  4.326e-01  1.441e+01  0.000e+00 -4.852e-02  4.811e-01  3.488e+00  9.738e+00  1.188e+00  0.000e+00
    228  1.59566e+01  4.505e-01  1.551e+01  0.000e+00 -3.357e-02  4.841e-01  3.562e+00  1.078e+01  1.161e+00  0.000e+00
    232  1.68049e+01  4.477e-01  1.636e+01  0.000e+00 -3.362e-02  4.813e-01  3.831e+00  1.136e+01  1.170e+00  0.000e+00
    236  1.60090e+01  4.408e-01  1.557e+01  0.000e+00 -4.062e-02  4.814e-01  3.947e+00  1.039e+01  1.235e+00  0.000e+00
    240  1.23230e+01  4.411e-01  1.188e+01  0.000e+00 -4.113e-02  4.822e-01  2.252e+00  8.516e+00  1.114e+00  0.000e+00
    244  1.30259e+01  4.487e-01  1.258e+01  0.000e+00 -3.488e-02  4.836e-01  3.546e+00  7.883e+00  1.147e+00  0.000e+00
    248  1.56615e+01  4.505e-01  1.521e+01  0.000e+00 -3.540e-02  4.859e-01  3.993e+00  9.915e+00  1.303e+00  0.000e+00
    252  1.33819e+01  4.347e-01  1.295e+01  0.000e+00 -4.881e-02  4.835e-01  4.036e+00  7.695e+00  1.216e+00  0.000e+00
    256  1.37885e+01  4.277e-01  1.336e+01  0.000e+00 -5.199e-02  4.797e-01  4.624e+00  7.527e+00  1.209e+00  0.000e+00
    260  1.65479e+01  4.169e-01  1.613e+01  0.000e+00 -5.903e-02  4.759e-01  6.781e+00  8.172e+00  1.177e+00  0.000e+00
    264  1.52064e+01  4.163e-01  1.479e+01  0.000e+00 -6.001e-02  4.763e-01  4.604e+00  9.013e+00  1.174e+00  0.000e+00
    268  1.62419e+01  4.225e-01  1.582e+01  0.000e+00 -5.553e-02  4.780e-01  5.994e+00  8.648e+00  1.178e+00  0.000e+00
    272  1.48723e+01  4.199e-01  1.445e+01  0.000e+00 -5.748e-02  4.774e-01  4.862e+00  8.473e+00  1.117e+00  0.000e+00
    276  1.57775e+01  4.172e-01  1.536e+01  0.000e+00 -5.976e-02  4.770e-01  4.969e+00  9.321e+00  1.071e+00  0.000e+00
    280  1.10387e+01  4.161e-01  1.062e+01  0.000e+00 -5.965e-02  4.758e-01  3.592e+00  5.938e+00  1.093e+00  0.000e+00
    284  1.49381e+01  4.222e-01  1.452e+01  0.000e+00 -5.610e-02  4.783e-01  5.285e+00  8.165e+00  1.066e+00  0.000e+00
    288  1.63500e+01  4.337e-01  1.592e+01  0.000e+00 -4.674e-02  4.805e-01  5.257e+00  9.485e+00  1.174e+00  0.000e+00
    292  1.90649e+01  4.308e-01  1.863e+01  0.000e+00 -4.941e-02  4.802e-01  8.252e+00  9.281e+00  1.102e+00  0.000e+00
    296  1.71675e+01  4.350e-01  1.673e+01  0.000e+00 -4.570e-02  4.807e-01  7.588e+00  8.067e+00  1.077e+00  0.000e+00
    300  1.72587e+01  4.429e-01  1.682e+01  0.000e+00 -3.951e-02  4.824e-01  5.409e+00  1.038e+01  1.027e+00  0.000e+00
    304  1.38913e+01  4.471e-01  1.344e+01  0.000e+00 -3.643e-02  4.836e-01  2.961e+00  9.523e+00  9.603e-01  0.000e+00
    308  1.40306e+01  4.520e-01  1.358e+01  0.000e+00 -3.264e-02  4.847e-01  4.271e+00  8.424e+00  8.844e-01  0.000e+00
    312  1.30146e+01  4.515e-01  1.256e+01  0.000e+00 -3.330e-02  4.848e-01  4.121e+00  7.533e+00  9.093e-01  0.000e+00
    316  1.21406e+01  4.465e-01  1.169e+01  0.000e+00 -3.701e-02  4.835e-01  4.734e+00  6.109e+00  8.512e-01  0.000e+00
    320  1.31250e+01  4.541e-01  1.267e+01  0.000e+00 -3.013e-02  4.842e-01  4.050e+00  7.713e+00  9.075e-01  0.000e+00
    324  1.33954e+01  4.668e-01  1.293e+01  0.000e+00 -1.871e-02  4.855e-01  3.974e+00  8.062e+00  8.921e-01  0.000e+00
    328  1.08251e+01  4.809e-01  1.034e+01  0.000e+00 -6.144e-03  4.871e-01  1.727e+00  7.774e+00  8.436e-01  0.000e+00
    332  1.10546e+01  4.698e-01  1.058e+01  0.000e+00 -1.705e-02  4.868e-01  2.869e+00  6.949e+00  7.674e-01  0.000e+00
    336  1.03847e+01  4.838e-01  9.901e+00  0.000e+00 -3.863e-03  4.876e-01  3.337e+00  5.756e+00  8.081e-01  0.000e+00
    340  1.47627e+01  4.874e-01  1.428e+01  0.000e+00 -1.567e-03  4.889e-01  5.706e+00  7.701e+00  8.683e-01  0.000e+00
    344  1.47544e+01  4.787e-01  1.428e+01  0.000e+00 -9.195e-03  4.879e-01  6.790e+00  6.600e+00  8.855e-01  0.000e+00
    348  1.42504e+01  5.161e-01  1.373e+01  0.000e+00  2.218e-02  4.939e-01  3.185e+00  9.562e+00  9.871e-01  0.000e+00
    352  1.24693e+01  5.022e-01  1.197e+01  0.000e+00  1.086e-02  4.913e-01  3.359e+00  7.739e+00  8.697e-01  0.000e+00
    356  1.22977e+01  5.156e-01  1.178e+01  0.000e+00  2.278e-02  4.929e-01  4.067e+00  6.869e+00  8.465e-01  0.000e+00
    360  1.29529e+01  4.943e-01  1.246e+01  0.000e+00  5.761e-03  4.885e-01  4.153e+00  7.317e+00  9.891e-01  0.000e+00
    364  1.10750e+01  5.000e-01  1.058e+01  0.000e+00  1.257e-02  4.874e-01  3.944e+00  5.695e+00  9.356e-01  0.000e+00
    368  1.00370e+01  4.850e-01  9.552e+00  0.000e+00 -4.455e-04  4.854e-01  4.248e+00  4.404e+00  9.009e-01  0.000e+00
    372  1.06419e+01  4.854e-01  1.016e+01  0.000e+00 -6.897e-04  4.861e-01  3.953e+00  5.176e+00  1.028e+00  0.000e+00
    376  9.79966e+00  4.855e-01  9.314e+00  0.000e+00 -2.095e-04  4.857e-01  5.338e+00  3.071e+00  9.053e-01  0.000e+00
    380  1.01671e+01  5.080e-01  9.659e+00  0.000e+00  1.944e-02  4.886e-01  3.794e+00  4.911e+00  9.538e-01  0.000e+00
    384  8.43999e+00  5.114e-01  7.929e+00  0.000e+00  2.193e-02  4.895e-01  2.110e+00  4.881e+00  9.372e-01  0.000e+00
    388  8.49314e+00  5.542e-01  7.939e+00  0.000e+00  5.942e-02  4.948e-01  1.513e+00  5.357e+00  1.069e+00  0.000e+00
    392  8.39637e+00  5.835e-01  7.813e+00  0.000e+00  8.656e-02  4.970e-01  2.813e+00  4.049e+00  9.503e-01  0.000e+00
    396  8.65921e+00  6.009e-01  8.058e+00  0.000e+00  1.032e-01  4.977e-01  1.954e+00  5.047e+00  1.057e+00  0.000e+00
    400  9.21184e+00  6.262e-01  8.586e+00  0.000e+00  1.250e-01  5.012e-01  2.482e+00  5.111e+00  9.922e-01  0.000e+00
    404  1.12427e+01  6.059e-01  1.064e+01  0.000e+00  1.060e-01  4.999e-01  4.919e+00  4.711e+00  1.008e+00  0.000e+00
    408  9.62068e+00  6.575e-01  8.963e+00  0.000e+00  1.551e-01  5.024e-01  2.928e+00  4.971e+00  1.064e+00  0.000e+00
    412  1.07623e+01  6.214e-01  1.014e+01  0.000e+00  1.224e-01  4.990e-01  4.842e+00  4.232e+00  1.066e+00  0.000e+00
    416  1.02689e+01  6.026e-01  9.666e+00  0.000e+00  1.061e-01  4.966e-01  5.612e+00  3.016e+00  1.038e+00  0.000e+00
    420  9.19846e+00  5.779e-01  8.621e+00  0.000e+00  8.297e-02  4.949e-01  4.837e+00  2.800e+00  9.831e-01  0.000e+00
    424  1.21632e+01  5.314e-01  1.163e+01  0.000e+00  4.121e-02  4.902e-01  5.642e+00  5.024e+00  9.659e-01  0.000e+00
    428  1.12848e+01  5.301e-01  1.075e+01  0.000e+00  3.928e-02  4.908e-01  5.265e+00  4.467e+00  1.023e+00  0.000e+00
    432  1.17548e+01  5.181e-01  1.124e+01  0.000e+00  2.980e-02  4.883e-01  5.601e+00  4.529e+00  1.107e+00  0.000e+00
    436  9.93023e+00  5.397e-01  9.391e+00  0.000e+00  4.761e-02  4.921e-01  3.005e+00  5.291e+00  1.095e+00  0.000e+00
    440  1.14848e+01  5.458e-01  1.094e+01  0.000e+00  5.557e-02  4.902e-01  4.793e+00  4.960e+00  1.186e+00  0.000e+00
    444  1.26543e+01  5.189e-01  1.214e+01  0.000e+00  3.047e-02  4.884e-01  6.016e+00  4.953e+00  1.166e+00  0.000e+00
    448  1.33312e+01  5.396e-01  1.279e+01  0.000e+00  4.864e-02  4.910e-01  7.469e+00  4.163e+00  1.160e+00  0.000e+00
    452  1.25731e+01  5.938e-01  1.198e+01  0.000e+00  1.005e-01  4.933e-01  7.669e+00  3.253e+00  1.057e+00  0.000e+00
    456  1.42363e+01  6.051e-01  1.363e+01  0.000e+00  1.120e-01  4.930e-01  9.378e+00  3.295e+00  9.583e-01  0.000e+00
    460  1.42066e+01  6.139e-01  1.359e+01  0.000e+00  1.199e-01  4.940e-01  8.207e+00  4.407e+00  9.789e-01  0.000e+00
    464  1.18730e+01  5.609e-01  1.131e+01  0.000e+00  7.039e-02  4.905e-01  6.498e+00  3.770e+00  1.044e+00  0.000e+00
    468  1.16361e+01  5.523e-01  1.108e+01  0.000e+00  6.167e-02  4.906e-01  5.986e+00  4.106e+00  9.912e-01  0.000e+00
    472  1.17112e+01  5.855e-01  1.113e+01  0.000e+00  9.030e-02  4.952e-01  4.851e+00  5.242e+00  1.033e+00  0.000e+00
    476  8.57080e+00  5.227e-01  8.048e+00  0.000e+00  3.600e-02  4.867e-01  3.673e+00  3.339e+00  1.036e+00  0.000e+00
    480  8.87517e+00  5.111e-01  8.364e+00  0.000e+00  2.393e-02  4.872e-01  2.384e+00  4.932e+00  1.048e+00  0.000e+00
    484  1.22338e+01  5.071e-01  1.173e+01  0.000e+00  1.840e-02  4.887e-01  4.094e+00  6.570e+00  1.062e+00  0.000e+00
    488  1.27274e+01  5.152e-01  1.221e+01  0.000e+00  2.501e-02  4.902e-01  5.204e+00  6.046e+00  9.618e-01  0.000e+00
    492  1.05420e+01  5.507e-01  9.991e+00  0.000e+00  5.705e-02  4.936e-01  4.962e+00  4.120e+00  9.091e-01  0.000e+00
    496  1.41925e+01  5.634e-01  1.363e+01  0.000e+00  6.858e-02  4.948e-01  7.094e+00  5.623e+00  9.117e-01  0.000e+00
    500  1.25618e+01  5.782e-01  1.198e+01  0.000e+00  8.460e-02  4.936e-01  6.738e+00  4.363e+00  8.825e-01  0.000e+00
    504  1.23242e+01  5.407e-01  1.178e+01  0.000e+00  4.903e-02  4.917e-01  6.506e+00  4.334e+00  9.433e-01  0.000e+00
    508  1.19584e+01  5.538e-01  1.140e+01  0.000e+00  5.846e-02  4.953e-01  3.911e+00  6.517e+00  9.771e-01  0.000e+00
    512  1.35202e+01  5.456e-01  1.297e+01  0.000e+00  4.996e-02  4.956e-01  6.375e+00  5.585e+00  1.015e+00  0.000e+00
    516  1.22477e+01  5.111e-01  1.174e+01  0.000e+00  1.922e-02  4.919e-01  4.079e+00  6.581e+00  1.077e+00  0.000e+00
    520  1.21641e+01  5.152e-01  1.165e+01  0.000e+00  2.303e-02  4.922e-01  4.568e+00  5.998e+00  1.083e+00  0.000e+00
    524  1.27316e+01  5.012e-01  1.223e+01  0.000e+00  1.201e-02  4.892e-01  5.181e+00  5.882e+00  1.168e+00  0.000e+00
    528  1.06548e+01  5.008e-01  1.015e+01  0.000e+00  1.141e-02  4.894e-01  2.473e+00  6.542e+00  1.139e+00  0.000e+00
    532  1.31153e+01  4.834e-01  1.263e+01  0.000e+00 -5.312e-03  4.887e-01  4.438e+00  7.088e+00  1.106e+00  0.000e+00
    536  1.35814e+01  4.874e-01  1.309e+01  0.000e+00 -2.919e-03  4.903e-01  6.359e+00  5.610e+00  1.124e+00  0.000e+00
    540  1.16721e+01  4.871e-01  1.118e+01  0.000e+00 -1.854e-03  4.890e-01  3.586e+00  6.495e+00  1.104e+00  0.000e+00
    544  1.21629e+01  4.645e-01  1.170e+01  0.000e+00 -1.896e-02  4.835e-01  3.040e+00  7.592e+00  1.067e+00  0.000e+00
    548  1.11169e+01  4.666e-01  1.065e+01  0.000e+00 -1.775e-02  4.844e-01  3.367e+00  6.290e+00  9.936e-01  0.000e+00
    552  1.15432e+01  4.630e-01  1.108e+01  0.000e+00 -2.274e-02  4.857e-01  1.952e+00  8.028e+00  1.100e+00  0.000e+00
    556  9.64122e+00  4.566e-01  9.185e+00  0.000e+00 -2.576e-02  4.824e-01  1.567e+00  6.417e+00  1.202e+00  0.000e+00
    560  1.15149e+01  4.837e-01  1.103e+01  0.000e+00 -1.160e-03  4.849e-01  2.640e+00  7.148e+00  1.243e+00  0.000e+00
    564  1.10591e+01  5.157e-01  1.054e+01  0.000e+00  2.741e-02  4.882e-01  2.457e+00  6.766e+00  1.321e+00  0.000e+00
    568  1.37498e+01  5.306e-01  1.322e+01  0.000e+00  4.187e-02  4.887e-01  3.444e+00  8.527e+00  1.248e+00  0.000e+00
