#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\h2o_5.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_5.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\h2o_5.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\h2o_5.xyz
# RANDOMSEED 515780453
# TEMPERATURE 298.150000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    120 -3.10333e+01 -4.230e+01  1.127e+01  0.000e+00  1.285e+01 -5.515e+01  5.444e+00  5.822e+00  0.000e+00  0.000e+00
    124 -3.00201e+01 -4.227e+01  1.225e+01  0.000e+00  1.209e+01 -5.436e+01  7.176e+00  5.071e+00  0.000e+00  0.000e+00
    128 -2.92226e+01 -4.295e+01  1.373e+01  0.000e+00  1.205e+01 -5.500e+01  9.706e+00  4.022e+00  0.000e+00  0.000e+00
    132 -3.10604e+01 -4.145e+01  1.039e+01  0.000e+00  1.232e+01 -5.377e+01  7.879e+00  2.509e+00  0.000e+00  0.000e+00
    136 -3.11002e+01 -4.191e+01  1.081e+01  0.000e+00  1.289e+01 -5.480e+01  6.271e+00  4.537e+00  0.000e+00  0.000e+00
    140 -3.02894e+01 -4.099e+01  1.070e+01  0.000e+00  1.259e+01 -5.358e+01  5.931e+00  4.767e+00  0.000e+00  0.000e+00
    144 -3.23326e+01 -3.974e+01  7.403e+00  0.000e+00  1.271e+01 -5.245e+01  2.753e+00  4.651e+00  0.000e+00  0.000e+00
    148 -3.18961e+01 -4.010e+01  8.205e+00  0.000e+00  1.320e+01 -5.330e+01  2.426e+00  5.780e+00  0.000e+00  0.000e+00
    152 -3.20402e+01 -4.116e+01  9.121e+00  0.000e+00  1.321e+01 -5.438e+01  4.588e+00  4.534e+00  0.000e+00  0.000e+00
    156 -3.35056e+01 -3.792e+01  4.418e+00  0.000e+00  1.288e+01 -5.080e+01  2.101e+00  2.317e+00  0.000e+00  0.000e+00
    160 -3.31911e+01 -3.842e+01  5.229e+00  0.000e+00  1.272e+01 -5.114e+01  1.669e+00  3.561e+00  0.000e+00  0.000e+00
    164 -3.40892e+01 -3.830e+01  4.206e+00  0.000e+00  1.302e+01 -5.131e+01  1.837e+00  2.369e+00  0.000e+00  0.000e+00
    168 -3.38752e+01 -3.898e+01  5.103e+00  0.000e+00  1.234e+01 -5.132e+01  2.297e+00  2.806e+00  0.000e+00  0.000e+00
    172 -3.39734e+01 -3.980e+01  5.825e+00  0.000e+00  1.296e+01 -5.276e+01  3.435e+00  2.390e+00  0.000e+00  0.000e+00
    176 -3.30510e+01 -4.181e+01  8.763e+00  0.000e+00  1.272e+01 -5.453e+01  4.802e+00  3.961e+00  0.000e+00  0.000e+00
    180 -3.47311e+01 -4.026e+01  5.532e+00  0.000e+00  1.240e+01 -5.266e+01  2.480e+00  3.052e+00  0.000e+00  0.000e+00
    184 -3.38617e+01 -3.944e+01  5.574e+00  0.000e+00  1.279e+01 -5.222e+01  2.778e+00  2.795e+00  0.000e+00  0.000e+00
    188 -3.47702e+01 -4.040e+01  5.631e+00  0.000e+00  1.234e+01 -5.274e+01  3.742e+00  1.889e+00  0.000e+00  0.000e+00
    192 -3.38902e+01 -3.954e+01  5.654e+00  0.000e+00  1.147e+01 -5.101e+01  3.985e+00  1.669e+00  0.000e+00  0.000e+00
    196 -3.25969e+01 -3.738e+01  4.784e+00  0.000e+00  1.163e+01 -4.901e+01  3.214e+00  1.570e+00  0.000e+00  0.000e+00
    200 -3.31189e+01 -3.943e+01  6.313e+00  0.000e+00  1.133e+01 -5.076e+01  4.663e+00  1.651e+00  0.000e+00  0.000e+00
    204 -3.39893e+01 -3.853e+01  4.538e+00  0.000e+00  1.153e+01 -5.005e+01  3.483e+00  1.055e+00  0.000e+00  0.000e+00
    208 -3.32872e+01 -3.934e+01  6.057e+00  0.000e+00  1.151e+01 -5.086e+01  4.580e+00  1.477e+00  0.000e+00  0.000e+00
    212 -3.21869e+01 -3.836e+01  6.170e+00  0.000e+00  1.142e+01 -4.977e+01  3.993e+00  2.177e+00  0.000e+00  0.000e+00
    216 -3.23934e+01 -3.751e+01  5.117e+00  0.000e+00  1.160e+01 -4.911e+01  3.377e+00  1.740e+00  0.000e+00  0.000e+00
    220 -3.14283e+01 -4.012e+01  8.691e+00  0.000e+00  1.156e+01 -5.168e+01  6.205e+00  2.486e+00  0.000e+00  0.000e+00
    224 -3.20522e+01 -3.907e+01  7.016e+00  0.000e+00  1.198e+01 -5.105e+01  4.320e+00  2.695e+00  0.000e+00  0.000e+00
    228 -3.21255e+01 -3.818e+01  6.059e+00  0.000e+00  1.183e+01 -5.002e+01  3.709e+00  2.349e+00  0.000e+00  0.000e+00
    232 -3.34930e+01 -3.798e+01  4.490e+00  0.000e+00  1.174e+01 -4.972e+01  3.525e+00  9.652e-01  0.000e+00  0.000e+00
    236 -3.19610e+01 -3.756e+01  5.600e+00  0.000e+00  1.085e+01 -4.841e+01  4.624e+00  9.760e-01  0.000e+00  0.000e+00
    240 -3.35908e+01 -3.633e+01  2.742e+00  0.000e+00  1.107e+01 -4.741e+01  1.737e+00  1.005e+00  0.000e+00  0.000e+00
    244 -3.30183e+01 -3.626e+01  3.247e+00  0.000e+00  1.039e+01 -4.665e+01  2.386e+00  8.609e-01  0.000e+00  0.000e+00
    248 -3.35930e+01 -3.687e+01  3.279e+00  0.000e+00  1.042e+01 -4.730e+01  2.187e+00  1.092e+00  0.000e+00  0.000e+00
    252 -3.39406e+01 -3.643e+01  2.488e+00  0.000e+00  1.097e+01 -4.740e+01  1.903e+00  5.856e-01  0.000e+00  0.000e+00
    256 -3.15012e+01 -3.656e+01  5.064e+00  0.000e+00  1.066e+01 -4.722e+01  3.226e+00  1.838e+00  0.000e+00  0.000e+00
    260 -3.10048e+01 -3.629e+01  5.282e+00  0.000e+00  1.031e+01 -4.660e+01  3.886e+00  1.396e+00  0.000e+00  0.000e+00
    264 -2.90636e+01 -3.533e+01  6.268e+00  0.000e+00  9.875e+00 -4.521e+01  3.096e+00  3.173e+00  0.000e+00  0.000e+00
    268 -3.15502e+01 -3.533e+01  3.783e+00  0.000e+00  9.499e+00 -4.483e+01  1.549e+00  2.234e+00  0.000e+00  0.000e+00
    272 -3.01666e+01 -3.562e+01  5.457e+00  0.000e+00  9.276e+00 -4.490e+01  1.519e+00  3.937e+00  0.000e+00  0.000e+00
    276 -3.13176e+01 -3.739e+01  6.073e+00  0.000e+00  9.274e+00 -4.667e+01  3.050e+00  3.024e+00  0.000e+00  0.000e+00
    280 -3.27495e+01 -3.751e+01  4.763e+00  0.000e+00  8.915e+00 -4.643e+01  3.080e+00  1.683e+00  0.000e+00  0.000e+00
    284 -3.30045e+01 -3.805e+01  5.048e+00  0.000e+00  8.681e+00 -4.673e+01  3.983e+00  1.065e+00  0.000e+00  0.000e+00
    288 -3.34588e+01 -3.675e+01  3.295e+00  0.000e+00  8.492e+00 -4.525e+01  1.637e+00  1.658e+00  0.000e+00  0.000e+00
    292 -3.38131e+01 -3.842e+01  4.603e+00  0.000e+00  8.530e+00 -4.695e+01  3.933e+00  6.698e-01  0.000e+00  0.000e+00
