#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\he20.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\he20.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.xyz
# RANDOMSEED 747663306
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 5
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    175 -6.70189e-01 -6.702e-01  0.000e+00  0.000e+00 -6.702e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    180 -7.24624e-01 -7.246e-01  0.000e+00  0.000e+00 -7.246e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    185 -9.93859e-02 -9.939e-02  0.000e+00  0.000e+00 -9.939e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    190 -6.43843e-01 -6.438e-01  0.000e+00  0.000e+00 -6.438e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    195 -6.04121e-01 -6.041e-01  0.000e+00  0.000e+00 -6.041e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    200 -6.18828e-01 -6.188e-01  0.000e+00  0.000e+00 -6.188e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    205 -6.44419e-01 -6.444e-01  0.000e+00  0.000e+00 -6.444e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    210 -6.30779e-01 -6.308e-01  0.000e+00  0.000e+00 -6.308e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    215 -3.10546e-01 -3.105e-01  0.000e+00  0.000e+00 -3.105e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    220 -5.32114e-01 -5.321e-01  0.000e+00  0.000e+00 -5.321e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    225 -3.43233e-01 -3.432e-01  0.000e+00  0.000e+00 -3.432e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    230 -4.71147e-01 -4.711e-01  0.000e+00  0.000e+00 -4.711e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    235 -4.61524e-01 -4.615e-01  0.000e+00  0.000e+00 -4.615e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    240 -6.10117e-01 -6.101e-01  0.000e+00  0.000e+00 -6.101e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    245 -3.33339e-01 -3.333e-01  0.000e+00  0.000e+00 -3.333e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    250 -5.12093e-01 -5.121e-01  0.000e+00  0.000e+00 -5.121e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    255 -5.29526e-01 -5.295e-01  0.000e+00  0.000e+00 -5.295e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    260  1.47464e-01  1.475e-01  0.000e+00  0.000e+00  1.475e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    265 -3.11043e-01 -3.110e-01  0.000e+00  0.000e+00 -3.110e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    270 -2.79802e-01 -2.798e-01  0.000e+00  0.000e+00 -2.798e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    275  9.79823e-02  9.798e-02  0.000e+00  0.000e+00  9.798e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    280 -3.39194e-01 -3.392e-01  0.000e+00  0.000e+00 -3.392e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    285 -4.81660e-01 -4.817e-01  0.000e+00  0.000e+00 -4.817e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    290 -3.83984e-01 -3.840e-01  0.000e+00  0.000e+00 -3.840e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    295 -4.11037e-01 -4.110e-01  0.000e+00  0.000e+00 -4.110e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    300  3.01419e-01  3.014e-01  0.000e+00  0.000e+00  3.014e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    305 -2.83461e-01 -2.835e-01  0.000e+00  0.000e+00 -2.835e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    310 -1.24344e-01 -1.243e-01  0.000e+00  0.000e+00 -1.243e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    315 -1.69309e-01 -1.693e-01  0.000e+00  0.000e+00 -1.693e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    320 -3.26770e-01 -3.268e-01  0.000e+00  0.000e+00 -3.268e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    325 -3.67940e-01 -3.679e-01  0.000e+00  0.000e+00 -3.679e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    330 -3.44073e-01 -3.441e-01  0.000e+00  0.000e+00 -3.441e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    335 -4.00385e-01 -4.004e-01  0.000e+00  0.000e+00 -4.004e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    340 -4.03350e-01 -4.034e-01  0.000e+00  0.000e+00 -4.034e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    345 -5.13865e-01 -5.139e-01  0.000e+00  0.000e+00 -5.139e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    350 -4.11519e-01 -4.115e-01  0.000e+00  0.000e+00 -4.115e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    355 -2.77388e-01 -2.774e-01  0.000e+00  0.000e+00 -2.774e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    360 -3.08528e-01 -3.085e-01  0.000e+00  0.000e+00 -3.085e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    365 -3.36619e-01 -3.366e-01  0.000e+00  0.000e+00 -3.366e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    370 -2.12455e-01 -2.125e-01  0.000e+00  0.000e+00 -2.125e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    375 -1.64091e-01 -1.641e-01  0.000e+00  0.000e+00 -1.641e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    380 -1.40551e-01 -1.406e-01  0.000e+00  0.000e+00 -1.406e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    385 -9.50587e-02 -9.506e-02  0.000e+00  0.000e+00 -9.506e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    390 -1.93236e-01 -1.932e-01  0.000e+00  0.000e+00 -1.932e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    395 -2.31207e-01 -2.312e-01  0.000e+00  0.000e+00 -2.312e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    400 -2.59535e-01 -2.595e-01  0.000e+00  0.000e+00 -2.595e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    405 -1.02763e-01 -1.028e-01  0.000e+00  0.000e+00 -1.028e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    410  2.24612e-02  2.246e-02  0.000e+00  0.000e+00  2.246e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    415 -8.43982e-02 -8.440e-02  0.000e+00  0.000e+00 -8.440e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    420 -4.53805e-02 -4.538e-02  0.000e+00  0.000e+00 -4.538e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    425 -2.53930e-02 -2.539e-02  0.000e+00  0.000e+00 -2.539e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    430 -4.99402e-02 -4.994e-02  0.000e+00  0.000e+00 -4.994e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    435 -3.01577e-02 -3.016e-02  0.000e+00  0.000e+00 -3.016e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    440 -3.94055e-02 -3.941e-02  0.000e+00  0.000e+00 -3.941e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    445 -2.70873e-02 -2.709e-02  0.000e+00  0.000e+00 -2.709e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    450 -2.76235e-02 -2.762e-02  0.000e+00  0.000e+00 -2.762e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    455 -1.62735e-02 -1.627e-02  0.000e+00  0.000e+00 -1.627e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    460 -1.03111e-01 -1.031e-01  0.000e+00  0.000e+00 -1.031e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    465 -7.87656e-02 -7.877e-02  0.000e+00  0.000e+00 -7.877e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    470 -3.35093e-02 -3.351e-02  0.000e+00  0.000e+00 -3.351e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    475 -6.90575e-02 -6.906e-02  0.000e+00  0.000e+00 -6.906e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    480 -3.15050e-02 -3.150e-02  0.000e+00  0.000e+00 -3.150e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    485 -1.73183e-02 -1.732e-02  0.000e+00  0.000e+00 -1.732e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    490 -2.26374e-02 -2.264e-02  0.000e+00  0.000e+00 -2.264e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    495 -1.48339e-02 -1.483e-02  0.000e+00  0.000e+00 -1.483e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    500 -5.11239e-02 -5.112e-02  0.000e+00  0.000e+00 -5.112e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    505 -3.56742e-02 -3.567e-02  0.000e+00  0.000e+00 -3.567e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    510 -1.11926e-02 -1.119e-02  0.000e+00  0.000e+00 -1.119e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    515 -1.52647e-02 -1.526e-02  0.000e+00  0.000e+00 -1.526e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    520  1.17791e-01  1.178e-01  0.000e+00  0.000e+00  1.178e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    525 -6.98216e-02 -6.982e-02  0.000e+00  0.000e+00 -6.982e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    530 -7.40309e-02 -7.403e-02  0.000e+00  0.000e+00 -7.403e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    535 -1.17733e-01 -1.177e-01  0.000e+00  0.000e+00 -1.177e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    540 -4.69585e-02 -4.696e-02  0.000e+00  0.000e+00 -4.696e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    545 -6.41581e-02 -6.416e-02  0.000e+00  0.000e+00 -6.416e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    550 -1.76849e-01 -1.768e-01  0.000e+00  0.000e+00 -1.768e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    555 -8.53358e-02 -8.534e-02  0.000e+00  0.000e+00 -8.534e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    560 -6.00191e-02 -6.002e-02  0.000e+00  0.000e+00 -6.002e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    565  8.17190e-01  8.172e-01  0.000e+00  0.000e+00  8.172e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    570 -9.91385e-02 -9.914e-02  0.000e+00  0.000e+00 -9.914e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    575 -5.86074e-02 -5.861e-02  0.000e+00  0.000e+00 -5.861e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    580 -4.66908e-02 -4.669e-02  0.000e+00  0.000e+00 -4.669e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    585 -6.76510e-02 -6.765e-02  0.000e+00  0.000e+00 -6.765e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    590 -9.31721e-02 -9.317e-02  0.000e+00  0.000e+00 -9.317e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    595 -1.10078e-01 -1.101e-01  0.000e+00  0.000e+00 -1.101e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    600 -1.09873e-01 -1.099e-01  0.000e+00  0.000e+00 -1.099e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    605 -6.66194e-03 -6.662e-03  0.000e+00  0.000e+00 -6.662e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    610 -3.85837e-03 -3.858e-03  0.000e+00  0.000e+00 -3.858e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    615 -6.10770e-02 -6.108e-02  0.000e+00  0.000e+00 -6.108e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    620 -4.08313e-03 -4.083e-03  0.000e+00  0.000e+00 -4.083e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    625 -3.21166e-02 -3.212e-02  0.000e+00  0.000e+00 -3.212e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    630 -5.28819e-03 -5.288e-03  0.000e+00  0.000e+00 -5.288e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    635 -3.53596e-04 -3.536e-04  0.000e+00  0.000e+00 -3.536e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    640 -1.53204e-04 -1.532e-04  0.000e+00  0.000e+00 -1.532e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    645 -1.73324e-04 -1.733e-04  0.000e+00  0.000e+00 -1.733e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    650 -4.48394e-04 -4.484e-04  0.000e+00  0.000e+00 -4.484e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    655 -5.28348e-04 -5.283e-04  0.000e+00  0.000e+00 -5.283e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
